iso3;ECO_NAME;from;to;ef_soc;ef_biomass_above;ef_biomass_below;ef_biomass;pools_covered
;;cropland;forest;;-19,11083214;-5,917314852;-25,028147;biomass only
;;cropland;nonveg;;12,18385239;4,654040794;16,83789319;biomass only
;;cropland;other;0,174518768;;;;soc only
;;cropland;otherland;;-9,110782501;-5,42613564;-14,53691814;biomass only
;;cropland;pasture;-0,234874427;3,570915031;-1,319618812;2,251296219;soc + biomass
;;forest;cropland;;19,11083214;5,917314852;25,028147;biomass only
;;forest;nonveg;;31,29468454;10,57135565;41,86604018;biomass only
;;forest;otherland;;10,00004964;0,491179212;10,49122886;biomass only
;;forest;pasture;;22,68174718;4,59769604;27,27944322;biomass only
;;nonveg;cropland;;-12,18385239;-4,654040794;-16,83789319;biomass only
;;nonveg;forest;;-31,29468454;-10,57135565;-41,86604018;biomass only
;;nonveg;otherland;;-21,2946349;-10,08017643;-31,37481133;biomass only
;;nonveg;pasture;;-8,612937362;-5,973659606;-14,58659697;biomass only
;;other;cropland;-0,174518768;;;;soc only
;;other;pasture;-0,409393194;;;;soc only
;;otherland;cropland;;9,110782501;5,42613564;14,53691814;biomass only
;;otherland;forest;;-10,00004964;-0,491179212;-10,49122886;biomass only
;;otherland;nonveg;;21,2946349;10,08017643;31,37481133;biomass only
;;otherland;pasture;;12,68169753;4,106516828;16,78821436;biomass only
;;pasture;cropland;0,234874427;-3,570915031;1,319618812;-2,251296219;soc + biomass
;;pasture;forest;;-22,68174718;-4,59769604;-27,27944322;biomass only
;;pasture;nonveg;;8,612937362;5,973659606;14,58659697;biomass only
;;pasture;other;0,409393194;;;;soc only
;;pasture;otherland;;-12,68169753;-4,106516828;-16,78821436;biomass only
;Aravalli west thorn scrub forests;cropland;forest;;-28,43125483;-12,13682317;-40,568078;biomass only
;Aravalli west thorn scrub forests;cropland;nonveg;;5,974726481;-2,270612628;3,704113853;biomass only
;Aravalli west thorn scrub forests;cropland;other;-4,051444241;;;;soc only
;Aravalli west thorn scrub forests;cropland;otherland;;-0,301562985;-6,750156252;-7,051719237;biomass only
;Aravalli west thorn scrub forests;cropland;pasture;1,388468214;-6,48906643;-5,041738061;-11,53080449;soc + biomass
;Aravalli west thorn scrub forests;forest;cropland;;28,43125483;12,13682317;40,568078;biomass only
;Aravalli west thorn scrub forests;forest;nonveg;;34,40598132;9,866210542;44,27219186;biomass only
;Aravalli west thorn scrub forests;forest;otherland;;28,12969185;5,386666918;33,51635877;biomass only
;Aravalli west thorn scrub forests;forest;pasture;;21,9421884;7,095085109;29,03727351;biomass only
;Aravalli west thorn scrub forests;nonveg;cropland;;-5,974726481;2,270612628;-3,704113853;biomass only
;Aravalli west thorn scrub forests;nonveg;forest;;-34,40598132;-9,866210542;-44,27219186;biomass only
;Aravalli west thorn scrub forests;nonveg;otherland;;-6,276289466;-4,479543624;-10,75583309;biomass only
;Aravalli west thorn scrub forests;nonveg;pasture;;-12,46379291;-2,771125433;-15,23491834;biomass only
;Aravalli west thorn scrub forests;other;cropland;4,051444241;;;;soc only
;Aravalli west thorn scrub forests;other;pasture;5,439912455;;;;soc only
;Aravalli west thorn scrub forests;otherland;cropland;;0,301562985;6,750156252;7,051719237;biomass only
;Aravalli west thorn scrub forests;otherland;forest;;-28,12969185;-5,386666918;-33,51635877;biomass only
;Aravalli west thorn scrub forests;otherland;nonveg;;6,276289466;4,479543624;10,75583309;biomass only
;Aravalli west thorn scrub forests;otherland;pasture;;-6,187503445;1,708418191;-4,479085254;biomass only
;Aravalli west thorn scrub forests;pasture;cropland;-1,388468214;6,48906643;5,041738061;11,53080449;soc + biomass
